Date,Predicted,actual_returns,strategy_returns,cumulative_Returns
2017-05-11,-1.0,-0.002162833436821554,0.002162833436821554,0.002162833436821554
2017-05-12,-1.0,-0.0014784250179582514,0.0014784250179582514,0.003644456041842492
2017-05-15,-1.0,0.004776444016897363,-0.004776444016897363,-0.0011493955153107915
2017-05-16,-1.0,-0.0006868360584768585,0.0006868360584768585,-0.0004633489031192761
2017-05-17,-1.0,-0.01817825856948263,0.01817825856948263,0.017706486790194376
2017-05-18,1.0,0.0036868431882495223,0.0036868431882495223,0.021458611018654095
2017-05-19,1.0,0.00676749573068669,0.00676749573068669,0.028371327807795943
2017-05-22,1.0,0.005160114706536767,0.005160114706536767,0.03367784182019773
2017-05-23,1.0,0.0018379127993919386,0.0018379127993919386,0.0355776515561268
2017-05-24,1.0,0.0024891386829661855,0.0024891386829661855,0.03815534794783049
2017-05-25,-1.0,0.004441875070184231,-0.004441875070184231,0.0335439915888025
2017-05-26,-1.0,0.0003105500047617671,-0.0003105500047617671,0.033223024497293085
2017-05-30,-1.0,-0.0012045599423798903,0.0012045599423798903,0.03446760356414713
2017-05-31,-1.0,-0.00046002544645251664,0.00046002544645251664,0.034943484985317186
2017-06-01,-1.0,0.007571108715482167,-0.007571108715482167,0.027107815346113284
2017-06-02,-1.0,0.003707727381216941,-0.003707727381216941,0.02329957957569251
2017-06-05,-1.0,-0.0012176772294358873,0.0012176772294358873,0.02454562817263306
2017-06-06,-1.0,-0.0027790320594393014,0.0027790320594393014,0.02739287331968332
2017-06-07,-1.0,0.001568333655781684,-0.001568333655781684,0.02578157849874585
2017-06-08,-1.0,0.0002671445128517025,-0.0002671445128517025,0.025507546578665607
2017-06-09,-1.0,-0.0008299812227020587,0.0008299812227020587,0.02635869858606532
2017-06-12,-1.0,-0.000978710980068076,0.000978710980068076,0.027363207113859866
2017-06-13,-1.0,0.004511420562363311,-0.004511420562363311,0.022728339616270965
2017-06-14,-1.0,-0.0009957588050893973,0.0009957588050893973,0.02374673036565844
2017-06-15,-1.0,-0.002239614097263254,0.002239614097263254,0.026039527975012522
2017-06-16,-1.0,0.00028366345181418673,-0.00028366345181418673,0.025748478060809266
2017-06-19,-1.0,0.00834720424141544,-0.00834720424141544,0.017186346014114617
2017-06-20,-1.0,-0.006696665117833511,0.006696665117833511,0.023998102335803795
2017-06-21,-1.0,-0.0005826764545369123,0.0005826764545369123,0.024594761919525254
2017-06-22,-1.0,-0.00045573798760889517,0.00045573798760889517,0.025061708674437133
2017-06-23,-1.0,0.0015608954610804027,-0.0015608954610804027,0.023461694506039965
2017-06-26,-1.0,0.00031579379075585834,-0.00031579379075585834,0.023138491657838545
2017-06-27,-1.0,-0.008072749039592986,0.008072749039592986,0.03139803193373991
2017-06-28,-1.0,0.0088080417296994,-0.0088080417296994,0.022313435028537665
2017-06-29,-1.0,-0.008600027041533398,0.008600027041533398,0.031105358214706058
2017-06-30,-1.0,0.0015332479232963436,-0.0015332479232963436,0.02952441806552364
2017-07-03,-1.0,0.0023107934687074394,-0.0023107934687074394,0.027145399764382905
2017-07-05,-1.0,0.0014532669688471778,-0.0014532669688471778,0.025652683282701982
2017-07-06,-1.0,-0.00936880791271677,0.00936880791271677,0.03526182625754015
2017-07-07,-1.0,0.006403153854134258,-0.006403153854134258,0.02863288550470111
2017-07-10,-1.0,0.0009277661864273146,-0.0009277661864273146,0.027678554695282687
2017-07-11,-1.0,-0.0007827208199616686,0.0007827208199616686,0.028482940096270726
2017-07-12,-1.0,0.007305619802682184,-0.007305619802682184,0.02096923476238266
2017-07-13,-1.0,0.00187455233807432,-0.00187455233807432,0.019055374496256938
2017-07-14,-1.0,0.0046735271648765675,-0.0046735271648765675,0.01429279152103513
2017-07-17,-1.0,-5.286121491343554e-05,5.286121491343554e-05,0.01434640827027267
2017-07-18,-1.0,0.0005977699520971491,-0.0005977699520971491,0.013740062466391034
2017-07-19,-1.0,0.0053726514969865136,-0.0053726514969865136,0.008293590402225881
2017-07-20,-1.0,-0.00015360796821128897,0.00015360796821128897,0.008448472332008183
2017-07-21,-1.0,-0.0003679071741898854,0.0003679071741898854,0.00881948775977981
2017-07-24,-1.0,-0.0010636834995592093,0.0010636834995592093,0.009892552402943622
2017-07-25,-1.0,0.002923183435833865,-0.002923183435833865,0.006940451221787436
2017-07-26,-1.0,0.0002825850883885206,-0.0002825850883885206,0.006655904865376927
2017-07-27,-1.0,-0.0009726252406339064,0.0009726252406339064,0.0076350038070822634
2017-07-28,-1.0,-0.0013411865461215866,0.0013411865461215866,0.0089864303175895
2017-07-31,-1.0,-0.0007281258848751415,0.0007281258848751415,0.009721099454991444
2017-08-01,-1.0,0.002449095251588762,-0.002449095251588762,0.007248196304887156
2017-08-02,-1.0,0.0004926605689827834,-0.0004926605689827834,0.006751964835388646
2017-08-03,-1.0,-0.0021835911800677232,0.0021835911800677232,0.008950299546318874
2017-08-04,-1.0,0.0018890363083294837,-0.0018890363083294837,0.007044355797175994
2017-08-07,-1.0,0.001647266869345021,-0.001647266869345021,0.005385484993910339
2017-08-08,-1.0,-0.002414436638168982,0.002414436638168982,0.007812924544362998
2017-08-09,-1.0,-0.0003636481179190021,0.0003636481179190021,0.00817941381758791
2017-08-10,-1.0,-0.01447441815345063,0.01447441815345063,0.022772224226884408
2017-08-11,-1.0,0.0012755258980974293,-0.0012755258980974293,0.02146765176702825
2017-08-14,-1.0,0.01004374682548792,-0.01004374682548792,0.01120828928225448
2017-08-15,-1.0,-0.0004988158193557357,0.0004988158193557357,0.01171269597361202
