,Strategy_DT_L_Term
Annualized Return,0.09530693390996169
Cumulative Returns,2.157415517686053
Annual Volatility,12.024078198973683
Sharpe Ratio,0.46734511757631475
Sortino Ratio,0.6551497317691717
Max Actual Return,5830.260366692574
Max Strategy Return,6611.767731919039
SS Lag,-0.18780461419285693
Max SReturn Lag,-781.5073652264646
