,Strategy_LR_S_Term
Annualized Return,0.1111042589561753
Cumulative Returns,0.5734609895799851
Annual Volatility,3.951829812996654
Sharpe Ratio,0.5511298844601721
Sortino Ratio,0.7583949874884572
Max Actual Return,1714.960539749879
Max Strategy Return,1720.5402888593653
SS Lag,-0.20726510302828516
Max SReturn Lag,-5.579749109486329
