,Strategy_DT_S_Term
Annualized Return,-0.11938520702393482
Cumulative Returns,-0.5025437196070205
Annual Volatility,2.867556229059852
Sharpe Ratio,-0.5922625557858022
Sortino Ratio,-0.8679851014887244
Max Actual Return,1714.960539749879
Max Strategy Return,897.1928882151592
SS Lag,0.2757225457029222
Max SReturn Lag,817.7676515347198
