,Strategy_Bollinger_L_Term
Annualized Return,0.015818017121634845
Cumulative Returns,-0.009338657574778808
Annual Volatility,2.1374050191273715
Sharpe Ratio,0.08743642132572801
Sortino Ratio,0.12097073285904313
Max Actual Return,6542.870638482165
Max Strategy Return,3422.71173379356
SS Lag,-0.03353431153331511
Max SReturn Lag,3120.158904688605
