,Strategy_Bollinger_S_Term
Annualized Return,0.03586445546108537
Cumulative Returns,0.1051718117539664
Annual Volatility,1.2365140525572431
Sharpe Ratio,0.20192576886681207
Sortino Ratio,0.2776730620215181
Max Actual Return,1714.960539749879
Max Strategy Return,1357.4785245787286
SS Lag,-0.07574729315470602
Max SReturn Lag,357.48201517115035
