Date,sma_fast,sma_slow
2002-08-09,878.2416666666667,890.0884615384615
2002-08-12,883.6666666666666,886.8115384615384
2002-08-13,886.2833333333333,883.2423076923077
2002-08-14,888.0,881.9653846153847
2002-08-15,890.2833333333334,882.3384615384615
2002-08-16,891.7166666666667,882.3923076923077
2002-08-19,897.2166666666667,883.5192307692307
2002-08-20,903.3166666666666,884.2692307692307
2002-08-21,912.8833333333333,886.1307692307693
2002-08-22,921.475,888.3115384615384
2002-08-23,926.8166666666666,890.5923076923077
2002-08-26,930.3583333333332,894.4461538461538
2002-08-27,932.5416666666666,898.8653846153846
2002-08-28,933.7166666666667,903.4884615384616
2002-08-29,936.5166666666668,906.3499999999999
2002-08-30,936.225,909.3269230769231
2002-09-03,931.875,910.2961538461537
2002-09-04,928.9250000000001,910.0807692307692
2002-09-05,922.9583333333334,909.1692307692307
2002-09-06,919.3333333333334,908.4884615384616
2002-09-09,915.4666666666667,909.1923076923077
2002-09-10,911.0416666666666,910.9384615384614
2002-09-11,908.4250000000001,913.8192307692308
2002-09-12,903.3333333333334,914.8692307692307
2002-09-13,899.5833333333334,915.3692307692307
2002-09-16,897.3499999999999,914.8153846153847
2002-09-17,893.6583333333333,913.4653846153847
2002-09-18,889.775,912.146153846154
2002-09-19,886.8833333333332,910.573076923077
2002-09-20,882.8833333333333,907.7192307692306
2002-09-23,879.0999999999999,904.0076923076923
2002-09-24,872.8833333333333,899.7961538461537
2002-09-25,867.6083333333332,895.5269230769231
2002-09-26,863.0583333333333,892.3576923076923
2002-09-27,856.2166666666666,887.6653846153846
2002-09-30,850.25,881.9961538461539
2002-10-01,846.7583333333333,878.4192307692308
2002-10-02,841.4916666666667,873.8
2002-10-03,836.9499999999999,869.3461538461538
2002-10-04,831.2083333333334,864.8346153846154
2002-10-07,826.375,859.7384615384616
2002-10-08,822.4666666666666,855.2153846153847
2002-10-09,817.725,851.323076923077
2002-10-10,816.4416666666666,847.8807692307693
2002-10-11,816.0749999999999,846.196153846154
2002-10-14,814.9416666666667,844.176923076923
2002-10-15,819.4333333333334,843.3423076923076
2002-10-16,823.1583333333333,841.4346153846153
2002-10-17,825.7666666666668,840.2692307692307
2002-10-18,830.475,840.1730769230769
2002-10-21,837.1999999999999,840.5538461538462
2002-10-22,844.6666666666666,840.5192307692307
2002-10-23,853.9000000000001,841.3884615384615
2002-10-24,860.9000000000001,841.8884615384615
2002-10-25,870.9666666666667,843.976923076923
2002-10-28,878.1583333333333,845.7
2002-10-29,882.0583333333334,847.5615384615386
2002-10-30,886.1666666666666,850.3076923076923
2002-10-31,886.5416666666666,852.0807692307693
2002-11-01,889.9583333333334,853.8500000000001
2002-11-04,892.3916666666665,856.9653846153846
2002-11-05,894.9749999999999,860.8153846153847
2002-11-06,896.9833333333335,863.7346153846154
2002-11-07,898.0166666666668,866.6076923076923
2002-11-08,897.9,869.5192307692307
2002-11-11,897.375,872.426923076923
2002-11-12,896.1583333333333,876.1846153846153
2002-11-13,895.5166666666668,879.4153846153846
2002-11-14,897.3666666666667,884.3192307692308
2002-11-15,898.9583333333334,888.3923076923077
2002-11-18,900.1750000000001,890.8961538461538
2002-11-19,899.8166666666666,893.023076923077
2002-11-20,900.2916666666666,894.2846153846154
2002-11-21,901.8250000000002,897.123076923077
2002-11-22,902.3833333333333,899.0961538461538
2002-11-25,904.9083333333333,900.9615384615385
2002-11-26,906.4583333333334,901.4846153846154
2002-11-27,911.6833333333333,903.3576923076924
2002-11-29,916.125,904.9038461538462
2002-12-02,920.4583333333334,906.9038461538462
2002-12-03,921.8333333333334,907.7961538461539
2002-12-04,922.4833333333332,908.8499999999999
2002-12-05,922.9916666666667,909.7884615384614
2002-12-06,924.2833333333334,910.6153846153846
2002-12-09,922.4416666666667,910.853846153846
2002-12-10,920.0,910.9884615384615
2002-12-11,917.875,910.8576923076923
2002-12-12,915.2666666666665,910.3269230769231
2002-12-13,913.2833333333333,909.0076923076923
2002-12-16,910.9083333333334,909.3076923076923
2002-12-17,908.1333333333333,909.626923076923
2002-12-18,904.5166666666665,910.2
2002-12-19,901.4666666666667,910.2461538461539
2002-12-20,899.65,910.7576923076923
2002-12-23,898.8916666666668,910.4923076923077
2002-12-24,897.25,909.8269230769231
2002-12-26,897.0583333333333,909.4153846153846
2002-12-27,894.6333333333332,908.5961538461538
2002-12-30,892.5,907.2615384615384
2002-12-31,890.6833333333334,905.1846153846153
2003-01-02,892.3083333333334,904.3576923076923
2003-01-03,892.1583333333333,903.4230769230769
2003-01-06,894.3249999999999,904.0269230769231
2003-01-07,896.975,903.4115384615384
2003-01-08,899.1166666666667,902.3961538461538
2003-01-09,901.7666666666668,902.1307692307691
2003-01-10,904.2833333333333,902.3923076923077
2003-01-13,907.0999999999999,902.7269230769232
2003-01-14,910.6,903.696153846154
2003-01-15,914.1666666666666,903.9269230769231
2003-01-16,917.0999999999999,904.7961538461539
2003-01-17,918.9333333333334,904.6923076923077
2003-01-21,917.15,904.023076923077
2003-01-22,914.6333333333333,903.1307692307691
2003-01-23,911.1583333333333,903.0461538461537
2003-01-24,906.0333333333333,901.1615384615385
2003-01-27,900.8333333333334,899.0269230769231
2003-01-28,895.0749999999999,897.7730769230768
2003-01-29,889.8083333333333,897.0115384615385
2003-01-30,883.0,895.0423076923076
2003-01-31,876.6666666666666,893.4384615384616
2003-02-03,871.8416666666667,892.2
2003-02-04,866.3083333333334,890.6038461538462
2003-02-05,861.4583333333334,889.3807692307691
2003-02-06,857.3333333333334,887.7923076923078
2003-02-07,853.275,885.8653846153846
