Date,predicted_signal,actual_returns,strategy_returns,cumulative_Returns
2017-05-11,1,-0.002162833436821554,-0.002162833436821554,-0.002162833436821554
2017-05-12,1,-0.0014784250179582514,-0.0014784250179582514,-0.003638060867717119
2017-05-15,1,0.004776444016897363,0.004776444016897363,0.001121006155115456
2017-05-16,1,-0.0006868360584768585,-0.0006868360584768585,0.0004334001491894668
2017-05-17,1,-0.01817825856948263,-0.01817825856948263,-0.017752736880269238
2017-05-18,1,0.0036868431882495223,0.0036868431882495223,-0.014131345249059568
2017-05-19,1,0.00676749573068669,0.00676749573068669,-0.007459483337014738
2017-05-22,1,0.005160114706536767,0.005160114706536767,-0.0023378604201484965
2017-05-23,1,0.0018379127993919386,0.0018379127993919386,-0.0005042444043459327
2017-05-24,1,0.0024891386829661855,0.0024891386829661855,0.0019836391443677215
2017-05-25,1,0.004441875070184231,0.004441875070184231,0.006434325291815535
2017-05-26,1,0.0003105500047617671,0.0003105500047617671,0.0067468734763274085
2017-05-30,1,-0.0012045599423798903,-0.0012045599423798903,0.005534186520421702
2017-05-31,1,-0.00046002544645251664,-0.00046002544645251664,0.005071615207344449
2017-06-01,1,0.007571108715482167,0.007571108715482167,0.012681121672924567
2017-06-02,1,0.003707727381216941,0.003707727381216941,0.016435867196192833
2017-06-05,1,-0.0012176772294358873,-0.0012176772294358873,0.015198176385526008
2017-06-06,1,-0.0027790320594393014,-0.0027790320594393014,0.012376908106666251
2017-06-07,1,0.001568333655781684,0.001568333655781684,0.013964652883986073
2017-06-08,1,0.0002671445128517025,0.0002671445128517025,0.014235527977229712
2017-06-09,1,-0.0008299812227020587,-0.0008299812227020587,0.01339373153361123
2017-06-12,1,-0.000978710980068076,-0.000978710980068076,0.012401911961427148
2017-06-13,1,0.004511420562363311,0.004511420562363311,0.016969282764425886
2017-06-14,1,-0.0009957588050893973,-0.0009957588050893973,0.015956626646607797
2017-06-15,1,-0.002239614097263254,-0.002239614097263254,0.013681275863361986
2017-06-16,1,0.00028366345181418673,0.00028366345181418673,0.013968820193112741
2017-06-19,1,0.00834720424141544,0.00834720424141544,0.02243262502969179
2017-06-20,1,-0.006696665117833511,-0.006696665117833511,0.015585736134320571
2017-06-21,1,-0.0005826764545369123,-0.0005826764545369123,0.0149939782383115
2017-06-22,1,-0.00045573798760889517,-0.00045573798760889517,0.014531406925234025
2017-06-23,1,0.0015608954610804027,0.0015608954610804027,0.01611498439342718
2017-06-26,1,0.00031579379075585834,0.00031579379075585834,0.01643586719619261
2017-06-27,1,-0.008072749039592986,-0.008072749039592986,0.008230435525476754
2017-06-28,1,0.0088080417296994,0.0088080417296994,0.01711097127473815
2017-06-29,1,-0.008600027041533398,-0.008600027041533398,0.008363789417535017
2017-06-30,1,0.0015332479232963436,0.0015332479232963436,0.009909861103586604
2017-07-03,1,0.0023107934687074394,0.0023107934687074394,0.012243554214607988
2017-07-05,1,0.0014532669688471778,0.0014532669688471778,0.01371461433637644
2017-07-06,1,-0.00936880791271677,-0.00936880791271677,0.004217316836345075
2017-07-07,1,0.006403153854134258,0.006403153854134258,0.010647474819034164
2017-07-10,1,0.0009277661864273146,0.0009277661864273146,0.011585119372569341
2017-07-11,1,-0.0007827208199616686,-0.0007827208199616686,0.010793330638473098
2017-07-12,1,0.007305619802682184,0.007305619802682184,0.018177802411204702
2017-07-13,1,0.00187455233807432,0.00187455233807432,0.020086429991289956
2017-07-14,1,0.0046735271648765675,0.0046735271648765675,0.02485383163237631
2017-07-17,1,-5.286121491343554e-05,-5.286121491343554e-05,0.024799656613727628
2017-07-18,1,0.0005977699520971491,0.0005977699520971491,0.025412251055370705
2017-07-19,1,0.0053726514969865136,0.0053726514969865136,0.030921433721031732
2017-07-20,1,-0.00015360796821128897,-0.00015360796821128897,0.03076307597421235
2017-07-21,1,-0.0003679071741898854,-0.0003679071741898854,0.030383850843671345
2017-07-24,1,-0.0010636834995592093,-0.0010636834995592093,0.029287848543316564
2017-07-25,1,0.002923183435833865,0.002923183435833865,0.03229664573288349
2017-07-26,1,0.0002825850883885206,0.0002825850883885206,0.032588357371761134
2017-07-27,1,-0.0009726252406339064,-0.0009726252406339064,0.0315840358721966
2017-07-28,1,-0.0013411865461215866,-0.0013411865461215866,0.030200489242091066
2017-07-31,1,-0.0007281258848751415,-0.0007281258848751415,0.029450373599262836
2017-08-01,1,0.002449095251588762,0.002449095251588762,0.03197159562099117
2017-08-02,1,0.0004926605689827834,0.0004926605689827834,0.03248000733446377
2017-08-03,1,-0.0021835911800677232,-0.0021835911800677232,0.030225493096851963
2017-08-04,1,0.0018890363083294837,0.0018890363083294837,0.03217162645907856
2017-08-07,1,0.001647266869345021,0.001647266869345021,0.03387188858282264
2017-08-08,1,-0.002414436638168982,-0.002414436638168982,0.031375670415855206
2017-08-09,1,-0.0003636481179190021,-0.0003636481179190021,0.03100061259444109
2017-08-10,1,-0.01447441815345063,-0.01447441815345063,0.01607747861128539
2017-08-11,1,0.0012755258980974293,0.0012755258980974293,0.017373511749727566
2017-08-14,1,0.01004374682548792,0.01004374682548792,0.027591753728699375
2017-08-15,1,-0.0004988158193557357,-0.0004988158193557357,0.027079174706100106
2017-08-16,1,0.0014201029777529683,0.0014201029777529683,0.028537732900488333
2017-08-17,1,-0.015436913265616137,-0.015436913265616137,0.012660285127290116
2017-08-18,1,-0.0018353833934839914,-0.0018353833934839914,0.010801665256726656
2017-08-21,1,0.0011626229102676966,0.0011626229102676966,0.011976846430490795
2017-08-22,1,0.009940824503679613,0.009940824503679613,0.022036730662643444
