Date,Predicted,actual_returns,strategy_returns,cumulative_Returns
2006-11-22,1,0.0023381641134578857,0.0023381641134578857,0.0023381641134578857
2006-11-24,1,-0.0036555270288529673,-0.0036555270288529673,-0.0013259101375097115
2006-11-27,1,-0.013555087619115613,-0.013555087619115613,-0.014863024928536306
2006-11-28,1,0.0034443833396045065,0.0034443833396045065,-0.011469835544371754
2006-11-29,1,0.00920156917041659,0.00920156917041659,-0.002373806859090055
2006-11-30,1,0.0008217337868352548,0.0008217337868352548,-0.0015540237095543752
2006-12-01,1,-0.002798740566745006,-0.002798740566745006,-0.00434841496710181
2006-12-04,1,0.008885165854042532,0.008885165854042532,0.004498114498755923
2006-12-05,1,0.004002498012944278,0.004002498012944278,0.00851861620604355
2006-12-06,1,-0.0013147106222962668,-0.0013147106222962668,0.0071927060685339494
2006-12-07,1,-0.003970557010404274,-0.003970557010404274,0.003193590008625513
2006-12-08,1,0.0018119932636484481,0.0018119932636484481,0.005011370035856499
2006-12-11,1,0.002269761107643431,0.002269761107643431,0.007292505756303358
2006-12-12,1,-0.0010473871935684498,-0.0010473871935684498,0.0062374804855966914
2006-12-13,1,0.0011689194933266478,0.0011689194933266478,0.007413691091452179
2006-12-14,1,0.008689437521670396,0.008689437521670396,0.016167549418666605
2006-12-15,1,0.0011224210622311492,0.0011224210622311492,0.017308117278890034
2006-12-18,1,-0.003230349872818006,-0.003230349872818006,0.014021856131621435
2006-12-19,1,0.0021582025757831413,0.0021582025757831413,0.016210320713425208
2006-12-20,1,-0.0014169969485461342,-0.0014169969485461342,0.01477035378989311
2006-12-21,1,-0.0036739654239812403,-0.0036739654239812403,0.011042122596787829
2006-12-22,1,-0.005316223648029306,-0.005316223648029306,0.005667196555485088
2006-12-26,1,0.004352264027899899,0.004352264027899899,0.010044125719092412
2006-12-27,1,0.007015315124567545,0.007015315124567545,0.017129903550730186
2006-12-28,1,-0.0014787922962630207,-0.0014787922962630207,0.015625779685060515
2006-12-29,1,-0.004513135822226011,-0.004513135822226011,0.011042122596787607
2007-01-03,1,-0.001198618063879331,-0.001198618063879331,0.009830269245300283
2007-01-04,1,0.001228293096145805,0.001228293096145805,0.011070636793293342
2007-01-05,1,-0.0060845777458155,-0.0060845777458155,0.004918698897213414
2007-01-08,1,0.0022203148165225173,0.0022203148165225173,0.007149934773775346
2007-01-09,1,-0.0005166897879448351,-0.0005166897879448351,0.006629550687548447
2007-01-10,1,0.0019403587539215117,0.0019403587539215117,0.008582773148181122
2007-01-11,1,0.00633989468848295,0.00633989468848295,0.014977081714558693
2007-01-12,1,0.004853141548791351,0.004853141548791351,0.019902909160898652
2007-01-16,1,0.0008177643580551397,0.0008177643580551397,0.02073694940868709
2007-01-17,1,-0.0008939171729870354,-0.0008939171729870354,0.019824495120508212
2007-01-18,1,-0.0029707399588989603,-0.0029707399588989603,0.01679486174178968
2007-01-19,1,0.0028954619067984577,0.0028954619067984577,0.01973895253099145
2007-01-22,1,-0.005277874868926946,-0.005277874868926946,0.014356897940562163
2007-01-23,1,0.0035419375241574347,0.0035419375241574347,0.017949686700265755
2007-01-24,1,0.00850146009425834,0.00850146009425834,0.02660374533971077
2007-01-25,1,-0.011269815919396131,-0.011269815919396131,0.015034110107569498
2007-01-26,1,-0.0012079499964885443,-0.0012079499964885443,0.013807999657829306
2007-01-29,1,-0.0010969075644434723,-0.0010969075644434723,0.01269594599411139
2007-01-30,1,0.005772127662569959,0.005772127662569959,0.01854135627775655
2007-01-31,1,0.006592852843605224,0.006592852843605224,0.02525644955482198
2007-02-01,1,0.005353765713649983,0.005353765713649983,0.030745432382146998
2007-02-02,1,0.0016943994909885962,0.0016943994909885962,0.03249192691811409
2007-02-05,1,-0.0009665904901304812,-0.0009665904901304812,0.03149393004041845
2007-02-06,1,0.0006980006772678848,0.0006980006772678848,0.03221391350218439
2007-02-07,1,0.0013950276243093196,0.0013950276243093196,0.033653880425716265
2007-02-08,1,-0.0011792940787024309,-0.0011792940787024309,0.032434898525102396
2007-02-09,1,-0.007077214132333531,-0.007077214132333531,0.02512813567054617
2007-02-12,1,-0.0032613381917305784,-0.0032613381917305784,0.021784846130266322
2007-02-13,1,0.007597480064463591,0.007597480064463591,0.029547836128912097
2007-02-14,1,0.00764405300984583,0.00764405300984583,0.037417754364453604
2007-02-15,1,0.001037586751872377,0.001037586751872377,0.03849416528253946
2007-02-16,1,-0.0008717677665583956,-0.0008717677665583956,0.03758883954348713
2007-02-20,1,0.0028443052063151786,0.0028443052063151786,0.04054005888181522
2007-02-21,1,-0.0014044174065548365,-0.0014044174065548365,0.03907870631090393
2007-02-22,1,-0.0008575564443651373,-0.0008575564443651373,0.03818763767010447
2007-02-23,1,-0.0035636303711943373,-0.0035636303711943373,0.0344879206735047
2007-02-26,1,-0.001254143151482645,-0.001254143151482645,0.033190524732500615
2007-02-27,1,-0.03472543242926229,-0.03472543242926229,-0.0026874630206519257
2007-02-28,1,0.005560956084172064,0.005560956084172064,0.002858548199684563
2007-03-01,1,-0.0025945039166346273,-0.0025945039166346273,0.0002566277685500662
2007-03-02,1,-0.011402752339345956,-0.011402752339345956,-0.011149050833684115
2007-03-05,1,-0.009407642898851765,-0.009407642898851765,-0.020451807443631398
2007-03-06,1,0.015493552237068275,0.015493552237068275,-0.005275126353533444
2007-03-07,1,-0.00246522527429216,-0.00246522527429216,-0.007727347253013828
2007-03-08,1,0.007126590371919095,0.007126590371919095,-0.0006558265196285884
2007-03-09,1,0.0006776565921717825,0.0006776565921717825,2.1385647378746597e-05
