,Strategy_LR_L_Term
Annualized Return,0.10228225086767431
Cumulative Returns,2.517132989396501
Annual Volatility,14.067002121531232
Sharpe Ratio,0.5015821287554212
Sortino Ratio,0.6985204815088067
Max Actual Return,5830.260366692574
Max Strategy Return,7191.313105261051
SS Lag,-0.19693835275338556
Max SReturn Lag,-1361.0527385684763
