Date,Predicted,actual_returns,strategy_returns,cumulative_Returns
2006-08-09,-1.0,-0.004349262277031474,0.004349262277031474,0.004349262277031585
2006-08-10,-1.0,0.004628934792053396,-0.004628934792053396,-0.0002998049664957314
2006-08-11,-1.0,-0.003986444516083321,0.003986444516083321,0.003685444393723092
2006-08-14,-1.0,0.0011604591313134627,-0.0011604591313134627,0.0025207084548100056
2006-08-15,-1.0,0.013696469827552127,-0.013696469827552127,-0.011210286180037499
2006-08-16,-1.0,0.007661911355186124,-0.007661911355186124,-0.01878630531624592
2006-08-17,1.0,0.0015824861242985655,0.0015824861242985655,-0.017233548259437126
2006-08-18,1.0,0.003714893485833981,0.003714893485833981,-0.013582675569769886
2006-08-21,1.0,-0.003670429240574369,-0.003670429240574369,-0.01720325056076777
2006-08-22,1.0,0.0010019113385535405,0.0010019113385535405,-0.016218575354011056
2006-08-23,1.0,-0.0044886897337582665,-0.0044886897337582665,-0.020634464935081587
2006-08-24,-1.0,0.00237434164223993,-0.00237434164223993,-0.02295981330796082
2006-08-25,-1.0,-0.0007484221409502778,0.0007484221409502778,-0.022228574799642242
2006-08-28,-1.0,0.005165664162336325,-0.005165664162336325,-0.027279413609756276
2006-08-29,-1.0,0.001920447387423474,-0.001920447387423474,-0.0291474723185825
2006-08-30,-1.0,0.0008357101235929587,-0.0008357101235929587,-0.029958823604481655
2006-08-31,-1.0,-0.001187402805334803,0.001187402805334803,-0.02880699399033948
2006-09-01,1.0,0.00551456489392721,0.00551456489392721,-0.023451287134170995
2006-09-05,-1.0,0.0017086063416755781,-0.0017086063416755781,-0.025119824457928708
2006-09-06,-1.0,-0.009891490576813267,0.009891490576813267,-0.015476806388032283
2006-09-07,-1.0,-0.0047990401919616454,0.0047990401919616454,-0.010752040011970165
2006-09-08,-1.0,0.0037866493562697112,-0.0037866493562697112,-0.014497975162850008
2006-09-11,-1.0,0.0004773196193759155,-0.0004773196193759155,-0.014968374614239499
2006-09-12,-1.0,0.010357511119319263,-0.010357511119319263,-0.025170850627053598
2006-09-13,-1.0,0.003861386138613865,-0.003861386138613865,-0.028935042391958987
2006-09-14,1.0,-0.0013580462342667188,-0.0013580462342667188,-0.030253793500866988
2006-09-15,-1.0,0.0025678427082385102,-0.0025678427082385102,-0.032743949226067715
2006-09-18,1.0,0.001151811830319982,0.001151811830319982,-0.03162985226383774
2006-09-19,1.0,-0.00267942294009893,-0.00267942294009893,-0.034224525452189014
2006-09-20,-1.0,0.005722352084029048,-0.005722352084029048,-0.0397510327516718
2006-09-21,1.0,-0.005395493442400312,-0.005395493442400312,-0.044932049757531844
2006-09-22,-1.0,-0.0024658012336593593,0.0024658012336593593,-0.04257704202759549
2006-09-25,-1.0,0.008815162993048187,-0.008815162993048187,-0.051016881455408614
2006-09-26,-1.0,0.007524295633948297,-0.007524295633948297,-0.05815731099096433
2006-09-27,-1.0,0.00017959366932318588,-0.00017959366932318588,-0.05832645997540864
2006-09-28,-1.0,0.0017133152275567998,-0.0017133152275567998,-0.05993984359092008
2006-09-29,-1.0,-0.002263085564053635,0.002263085564053635,-0.057812407021608614
2006-10-02,-1.0,-0.0033910993000710876,0.0033910993000710876,-0.054617355334524054
2006-10-03,-1.0,0.0020956644533245417,-0.0020956644533245417,-0.05659856013773945
2006-10-04,-1.0,0.012060474773444518,-0.012060474773444518,-0.0679764294044295
2006-10-05,-1.0,0.00223670567323353,-0.00223670567323353,-0.07006109181236797
2006-10-06,-1.0,-0.0026824906519266056,0.0026824906519266056,-0.06756653938429169
2006-10-09,-1.0,0.0007928333790263586,-0.0007928333790263586,-0.06830580375558892
2006-10-10,-1.0,0.0020434454266802238,-0.0020434454266802238,-0.07020966999996903
2006-10-11,-1.0,-0.002563875219813494,0.002563875219813494,-0.06782580361325985
2006-10-12,-1.0,0.009541094114596804,-0.009541094114596804,-0.07671976535218439
2006-10-13,-1.0,0.002047210583858483,-0.002047210583858483,-0.07860991442042276
2006-10-16,-1.0,0.002519002357903366,-0.002519002357903366,-0.08093089821854649
2006-10-17,-1.0,-0.0036594451667567585,0.0036594451667567585,-0.077567615236117
2006-10-18,-1.0,0.001282944173600642,-0.001282944173600642,-0.07875104448969039
2006-10-19,-1.0,0.00084931908039243,-0.00084931908039243,-0.07953347880539685
2006-10-20,-1.0,0.0011997424942937762,-0.0011997424942937762,-0.08063780160544876
2006-10-23,-1.0,0.006152272395148373,-0.006152272395148373,-0.08629396827977442
2006-10-24,-1.0,0.0002614341113420515,-0.0002614341113420515,-0.0865328422042051
2006-10-25,-1.0,0.0035139177278600275,-0.0035139177278600275,-0.08974269064380169
2006-10-26,-1.0,0.00496303048718727,-0.00496303048718727,-0.09426032542132157
2006-10-27,-1.0,-0.008451637054741279,0.008451637054741279,-0.08660534242570295
2006-10-30,-1.0,0.00042836191499562304,-0.00042836191499562304,-0.08699660591036829
2006-10-31,-1.0,7.257262705673284e-06,-7.257262705673284e-06,-0.08700323181585035
2006-11-01,-1.0,-0.00735155376866925,0.00735155376866925,-0.0802912869839233
2006-11-02,-1.0,-0.00034361497576418376,0.00034361497576418376,-0.07997526129679022
2006-11-03,-1.0,-0.002223294864481362,0.002223294864481362,-0.07792977502003562
2006-11-06,-1.0,0.011346478047350228,-0.011346478047350228,-0.08839202458588602
2006-11-07,-1.0,0.0022177448578759584,-0.0022177448578759584,-0.0904137384857594
2006-11-08,-1.0,0.0020826704463279277,-0.0020826704463279277,-0.092308106911001
2006-11-09,-1.0,-0.005332967699102298,0.005332967699102298,-0.08746741536442038
