,Strategy_Adaboost_L_Term
Annualized Return,0.06526268162190521
Cumulative Returns,0.9857407443309263
Annual Volatility,7.3570723838459475
Sharpe Ratio,0.31994709313031666
Sortino Ratio,0.44335249189267467
Max Actual Return,5830.260366692574
Max Strategy Return,4295.847269620343
SS Lag,-0.12340539876235801
Max SReturn Lag,1534.4130970722317
